# 13位
3104931301012: 邹平公交IC卡

# 12位
310517002011: 北京市郊铁路一卡通
310482130310: 畅乘通卡
310507250101: 轩辕通·邓州
310507250102: 轩辕通·新蔡
310507240107: 轩辕通·卢氏
310507030260: 全国交通一卡通·西华
310507030270: 桐柏公交一卡通
310507030280: 全国交通一卡通·鹿邑
310507030281: 全国交通一卡通·鹿邑
310507030310: 淮阳公交IC卡
310507030360: 沈通公交卡
310507030370: 全国交通一卡通·兰考
310507030450: 全国交通一卡通·息县
310507030460: 全国交通一卡通·博爱
310507030470: 全国交通一卡通·武陟
310507060028: 焦作公交一卡通
310507060048: 沁阳公交一卡通
310507060053: 修武公交一卡通
310507060055: 孟州公交互联互通卡
310507060058: 武陟公交一卡通
310507076000: 汤阴公交一卡通
310507084631: 天中通卡·遂平
310507084632: 轩辕通·确山
310507084633: 汝南公交IC卡
310507084634: 天中通卡·平舆
310507084635: 新蔡公交IC卡
310507084637: 天中通卡·泌阳
310507150054: 洛阳交通一卡通
310507150096: 洛阳交通一卡通
310507210102: 轩辕通·巩义
310507210103: 轩辕通·汝州
310507220100: 轩辕通·滑县
310507220113: 轩辕通·辉县
310507230111: 轩辕通·民权
310507030010: 全国交通一卡通·禹州
310507030020: 许昌万里一卡通
310507030030: 许昌万里一卡通
310507030050: 许昌万里一卡通
310507030060: 全国交通一卡通·禹州
310507030070: 全国交通一卡通·鄢陵
310507030200: 全国交通一卡通·宝丰
310507030201: 平顶山平运交通一卡通
310507030210: 永城公交一卡通
310507030222: 全国交通一卡通·鲁山
310507030230: 全国交通一卡通·中牟
310507001210: 轩辕通·叶县

# 11位
31050703025: 全国交通一卡通·襄城
31050021014: 天涯行·陵水

# 10位
3104780702: 成德通
3104892501: 辽源长途客运一卡通
3104841295: 桂民卡·合山通
3104880300: 嘉兴交通一卡通
3104880301: 嘉善交通一卡通
3104880302: 平湖交通一卡通
3104880303: 海盐公交一卡通
3105020001: 灵武交通一卡通
3104880304: 海宁交通IC卡
3104880305: 桐乡交通一卡通
3104900601: 丝路任我行·酒泉
3104900611: 丝路任我行·敦煌
3104900701: 丝路任我行·民乐
3104900709: 丝路任我行·山丹
3104901001: 丝路任我行·陇南
3104901011: 丝路任我行·宕昌
3104901021: 丝路任我行·成县
3104901031: 丝路任我行·文县
3104901101: 丝路任我行·环县
3104901111: 丝路任我行·正宁
3104900411: 丝路任我行·会宁公交一卡通
3104900421: 丝路任我行·靖远

# 9位
310490000: 丝路任我行·飞天卡
310490001: 兰州轨道交通一卡通
310490002: 兰州公交一卡通
310488074: 绍兴通卡
310488075: 绍兴通卡
310500002: 海口公交卡
310499061: 凤阳公交卡
310499062: 全椒公交IC卡

# 8位
31051700: 北京互通卡
31047300: 洪城一卡通
31047301: 赣州通
31047303: 萍乡交通一卡通
31047304: 九江公交一卡通
31047305: 新余交通一卡通
31047306: 鹰潭互联互通卡
31047307: 明月通
31047308: 上饶公交IC卡
31047309: 吉安通
31047310: 抚州交通一卡通
31047400: 贵阳公交IC卡
31047401: 遵义交通一卡通
31047402: 凉都市民卡
31047403: 安顺全国互联互通卡
31047404: 九驿通
31047405: 黔通·桃源卡
31047406: 黔通·兴义卡
31047407: 凯里公交IC卡
31047409: 贵阳轨道储值票（一应黔行）
31047410: 同心市民卡
31047500: 西藏交通一卡通·拉萨
31047600: 夏都通
31047601: 大美青海行·海东
31047606: 大美青海行·玉树
31047607: 大美青海行·格尔木
31047700: 上海公共交通卡
31047800: 天府通
31047801: 甜城通
31047802: 月城一卡通
31047803: 乐山公交IC卡
31047804: 自贡通
31047805: 攀枝花公交一卡通
31047806: 酒城一卡通
31047807: 德阳全国交通一卡通
31047808: 绵州通
31047809: 利州通
31047810: 遂州通
31047811: 宜宾一卡通
31047812: 南充公交卡
31047813: 达州通
31047814: 雅安交通一卡通
31047816: 康定公交一卡通
31047817: 眉山交通一卡通
31047818: 广安全国一卡通
31047819: 巴中交通一卡通
31047821: 古城阆中通
31047900: 红山一卡通
31047901: 金垦卡
31047902: 金垦卡
31047903: 金垦卡
31047904: 金垦卡
31047905: 金垦卡
31047906: 金垦卡
31047907: 金垦卡
31047908: 金垦卡
31047909: 金垦卡
31047910: 金垦卡
31047911: 金垦卡
31047912: 金垦卡
31047913: 金垦卡
31047916: 哈密智慧城市一卡通
31047922: 喀什智慧城市一卡通
31047926: 阿勒泰智慧城市一卡通
31048000: 长安通
31048001: 咸阳公交一卡通
31048002: 宝鸡公交卡
31048003: 渭南通
31048006: 延安公交一卡通
31048007: 天汉通
31048008: 安康公交一卡通
31048009: 商洛公交一卡通
31048011: 驼城通
31048013: 农科城卡
31048014: 西咸一卡通
31048200: 潇湘卡
31048202: 株洲公交IC卡
31048203: 湘潭交通卡
31048204: 衡阳交通卡
31048205: 宝庆一卡通
31048206: 岳阳通
31048207: 常德公交卡
31048208: 张家界一卡通
31048209: 银城一卡通
31048211: 福城通
31048212: 永州城市一卡通
31048213: 怀化公交IC卡
31048214: 湘西州交通一卡通
31048300: 南京市民卡
31048301: 扬州市民卡
31048302: 镇江公交IC卡
31048303: 苏州市民卡
31048304: 南通市民卡
31048305: 常州市民卡
31048306: 宿迁市民卡
31048307: 黄海通
31048308: 江淮通
31048309: 淮海通
31048310: 连云港市民卡
31048311: 泰州通
31048312: 无锡市民卡
31048315: 昆通卡
31048400: 邕桂通
31048401: 桂民卡·柳州市民卡
31048402: 桂民卡·桂林通
31048403: 桂民卡·梧州通
31048404: 桂民卡·北海通
31048405: 桂民卡·玉林交通一卡通
31048406: 桂民卡·百色通
31048407: 桂民卡·河池通
31048408: 桂民卡·钦州市民卡
31048409: 桂民卡·防城港通
31048410: 桂民卡·贵港市民卡
31048411: 桂民卡·贺州通
31048412: 桂民卡·来宾通
31048413: 桂民卡·崇左通
31048500: 八达通
31048702: 东莞通
31048703: 羊城通
31048704: 深圳通
31048705: 中山通
31048707: 广佛通
31048708: 惠州通
31048709: 岭南通·汕头
31048710: 五邑通
31048711: 茂城通
31048712: 肇庆通
31048713: 湛江通
31048714: 嘉应通
31048715: 红海通
31048716: 河源粤支付
31048717: 清远市民卡
31048718: 韶州通
31048719: 榕江通
31048720: 漠江通
31048721: 潮州通
31048722: 岭云通
31048724: 珠海通
31048800: 温州公交IC卡
31048801: 杭州通
31048802: 宁波交通卡
31048803: 嘉兴市民卡
31048804: 台州通
31048805: 金华交通一卡通
31048806: 湖州交通一卡通
31048807: 绍兴一卡通
31048808: 衢州交通一卡通
31048809: 群岛通卡
31048810: 丽水公交IC卡
31048900: 长春轨道交通一卡通
31048901: 吉林通
31048902: 长春公交一卡通
31048903: 通化交通一卡通
31048904: 长春城联一卡通
31048905: 白山交通一卡通
31048906: 蛟河客运公交一卡通
31048908: 四平城市交通一卡通
31048909: 辽源市公交一卡通
31048910: 鹤城通
31048912: 松原通
31048913: 长白行·榆树
31048914: 长白行·农安
31048915: 长白行·德惠
31048916: 长白行·九台
31048917: 永吉万联惠民卡
31048923: 双辽市交通一卡通
31048924: 公主岭万联惠民卡
31048927: 长白行·通化
31048928: 长白行·辉南
31048929: 长白行·柳河
31048930: 梅河口交通一卡通
31048931: 长白行·集安
31048937: 长白行·镇赉
31048938: 长白行·通榆
31048939: 延吉交通一卡通
31048942: 唰唰通
31048943: 龙井万联惠民卡
31048946: 延边交通一卡通
31048947: 长白行·扶余
31048948: 长白行·长岭
31048949: 长白行·乾安
31048950: 长白行·长白山
31048951: 长白行·双阳
31049000: 兰州交通联合卡
31049003: 丝路任我行·金昌
31049004: 丝路任我行·白银
31049006: 丝路任我行·酒泉
31049007: 丝路任我行·张掖
31049008: 丝路任我行·凉州卡
31049010: 丝路任我行·陇南
31049011: 丝路任我行·庆阳
31049012: 丝路任我行·河州卡
31049015: 兰州新区公交卡
31049102: 天津城市卡
31049200: 宜居畅通卡
31049201: 重庆交运通
31049300: 枣庄市交通一卡通
31049301: 沂蒙通
31049304: 琴岛通
31049306: 烟台市民卡
31049307: 威海市民卡
31049308: 泉城通
31049309: 齐达通
31049310: 东营市交通一卡通
31049311: 潍坊通
31049312: 济宁交通一卡通
31049313: 滨州交通一卡通
31049314: 德州交通一卡通
31049315: 聊城交通一卡通
31049316: 菏泽交通一卡通
31049317: 日照交通一卡通
31049319: 滨州交运一卡通
31049320: 枣庄同诚卡
31049500: 石家庄公交卡
31049501: 燕赵通
31049502: 河北交通一卡通保定卡
31049503: 河北交通一卡通廊坊卡
31049504: 河北交通一卡通张家口卡
31049505: 河北交通一卡通唐山卡
31049506: 河北交通一卡通秦皇岛卡
31049507: 河北交通一卡通承德卡
31049508: 河北交通一卡通沧州卡
31049509: 河北交通一卡通邢台卡
31049510: 河北交通一卡通邯郸卡
31049511: 河北交通一卡通衡水卡
31049512: 邯郸市民卡
31049513: 沧州互联互通卡
31049517: 雄安新区交通一卡通
31049600: 澳门通
31049701: 鸡西交通部卡
31049702: 哈尔滨城市通
31049703: 齐联卡
31049704: 鹤岗交通一卡通
31049706: 大庆油城公交一卡通
31049707: 伊春交通一卡通
31049709: 牡丹江全国交通一卡通
31049710: 祥和公交卡
31049800: 昆明智慧通
31049802: 彩云交通卡
31049803: 云南交通一卡通·丽江
31049804: 云南交通一卡通·迪庆
31049807: 云南交通一卡通·普洱
31049811: 保山公交IC卡
31049812: 好运通
31049813: 曲靖市公交乘车卡
31049816: 昆明智慧通
31049900: 蚌埠城市通卡
31049902: 合肥通
31049903: 亳州交通一卡通
31049904: 宿州交通一卡通
31049905: 颍州通
31049906: 亭城通
31049907: 马鞍山市民卡
31049908: 芜湖城市卡
31049909: 铜陵一卡通
31049910: 安庆中北巴士交通一卡通
31049911: 六安公交一卡通
31049913: 淮北一卡通
31049914: 黄山交通一卡通
31049915: 淮南畅通卡
31049916: 宣城公交IC卡
31049918: 池州交通一卡通
31050000: 宝岛通
31050003: 文昌通
31050010: 儋州通
31050021: 天涯行
31050200: 银川交通一卡通
31050201: 石嘴山公交一卡通
31050202: 吴忠公交IC卡
31050203: 六盘通
31050600: 福路通·榕城通
31050601: 福路通·泉通卡
31050602: 福路通·海峡通
31050603: 福路通·福宁卡
31050604: 福路通·龙行卡
31050605: 福路通·莆田城市一卡通
31050606: 福路通·九龙卡
31050607: 福路通·明通卡
31050608: 福路通·e通卡
31050609: 福路通·武夷通
31050700: 平顶山交通一卡通
31050702: 绿城通
31050703: 许昌万里一卡通
31050705: 三门峡交通一卡通
31050706: 焦作公交一卡通
31050707: 安阳公交一卡通
31050708: 天中通卡
31050709: 南阳交通一卡通
31050710: 开封交通一卡通
31050712: 新乡公交一卡通
31050713: 商丘一卡通
31050714: 漯河公交一卡通
31050715: 牡丹智行卡
31050716: 濮阳交通一卡通
31050717: 茶城通
31050718: 鹤壁公交一卡通
31050719: 周口交通一卡通
31050720: 许昌公交一卡通
31050721: 轩辕通
31050722: 轩辕通
31050723: 轩辕通
31050724: 轩辕通
31050725: 轩辕通
31050726: 牡丹智行卡
31051100: 鹿城通
31051101: 呼和浩特交通一卡通
31051102: 乌海交通一卡通
31051107: 锡林郭勒交通一卡通
31051109: 天骄通
31051113: 二连浩特交通一卡通
31051200: 大连明珠卡
31051201: 盛京通
31051202: 抚顺城市通
31051203: 鞍山交运通卡
31051204: 本溪市民卡
31051205: 鸭绿江通
31051206: 锦州公共交通卡
31051207: 营口通
31051208: 阜新虎跃城市公交卡
31051209: 辽阳交通一卡通
31051210: 盘锦公共交通卡
31051211: 铁岭全国交通一卡通
31051212: 朝阳公共交通卡
31051213: 葫芦岛都市畅行卡
31051300: 太原全国交通一卡通
31051301: 大同交通一卡通
31051302: 阳泉交通一卡通
31051303: 长治通联卡
31051304: 晋城公交IC卡
31051305: 朔州交通一卡通
31051306: 忻州交通一卡通
31051307: 吕梁交通一卡通
31051308: 晋中交通一卡通
31051309: 临汾交通一卡通
31051310: 运城交通一卡通
31051311: 山西畅行通卡
31051400: 武汉通
31051401: 黄石公交一卡通
31051402: 车城通
31051403: 宜昌全国一卡通
31051404: 随州一卡通
31051405: 襄阳全国公交一卡通
31051406: 鄂州公交IC卡
31051407: 荆门市民卡
31051408: 黄冈全国公交一卡通
31051410: 咸宁一卡通
31051411: 荆州交通一卡通
31051412: 恩施公交IC卡
31051413: 潜江一卡通
31051414: 仙桃全国一卡通
