# GB/T 13497-1992

1000: 北京市
1121: 天津市
1210: 石家庄市
1610: 太原市
1910: 呼和浩特市
2210: 沈阳市
2220: 大连市
2410: 长春市
2610: 哈尔滨市
2900: 上海市
3010: 南京市
3020: 无锡市
3050: 苏州市
3310: 杭州市
3320: 宁波市
3610: 合肥市
3910: 福州市
4210: 南昌市
4510: 济南市
4520: 青岛市
4910: 郑州市
4930: 洛阳市
5210: 武汉市
5510: 长沙市
5810: 广州市
5840: 深圳市
5880: 佛山市
6020: 东莞市
6110: 南宁市
6510: 成都市
6900: 重庆市
7010: 贵阳市
7310: 昆明市
7910: 西安市
8210: 兰州市
8810: 乌鲁木齐市

1240: 唐山市
1260: 秦皇岛市
1270: 邯郸市
1310: 邢台市
1340: 保定市
1380: 张家口市
1410: 承德市
1430: 沧州市
1460: 廊坊市

1620: 大同市
1650: 阳泉市
1660: 长治市
1680: 晋城市
1690: 朔州市
1750: 晋中市
1810: 运城市
1710: 忻州市
1770: 临汾市
1730: 吕梁市

1920: 包头市
1930: 乌海市
1940: 赤峰市
1990: 通辽市
2050: 鄂尔多斯市
1960: 呼伦贝尔市
2070: 巴彦淖尔市
2030: 乌兰察布市
1980: 兴安盟
2010: 锡林郭勒盟
2080: 阿拉善盟

2230: 鞍山市
2240: 抚顺市
2250: 本溪市
2260: 丹东市
2270: 锦州市
2280: 营口市
2290: 阜新市
2310: 辽阳市
2320: 盘锦市
2330: 铁岭市
2340: 朝阳市
2360: 葫芦岛市

2420: 吉林市
2430: 四平市
2440: 辽源市
2450: 通化市
2460: 白山市
2510: 松原市
2470: 白城市
2490: 延边州

2640: 齐齐哈尔市
2660: 鸡西市
2670: 鹤岗市
2680: 双鸭山市
2690: 大庆市
2710: 伊春市
2720: 佳木斯市
2740: 七台河市
2750: 牡丹江市
2780: 黑河市
2760: 绥化市
2790: 大兴安岭地区

3030: 徐州市
3040: 常州市
3060: 南通市
3070: 连云港市
3080: 淮安市
3110: 盐城市
3120: 扬州市
3140: 镇江市
3160: 泰州市
3180: 宿迁市

3330: 温州市
3350: 嘉兴市
3360: 湖州市
3370: 绍兴市
3380: 金华市
3410: 衢州市
3420: 舟山市
3450: 台州市
3430: 丽水市

3620: 芜湖市
3630: 蚌埠市
3640: 淮南市
3650: 马鞍山市
3660: 淮北市
3670: 铜陵市
3680: 安庆市
3710: 黄山市
3750: 滁州市
3720: 阜阳市
3740: 宿州市
3760: 六安市
3810: 亳州市
3790: 池州市
3770: 宣城市

3917: 福清市
3930: 厦门市
3940: 莆田市
3950: 三明市
3970: 泉州市
3990: 漳州市
4010: 南平市
4050: 龙岩市
4030: 宁德市

4220: 景德镇市
4230: 萍乡市
4240: 九江市
4260: 新余市
4270: 鹰潭市
4280: 赣州市
4350: 吉安市
4310: 宜春市
4370: 抚州市
4330: 上饶市

4530: 淄博市
4540: 枣庄市
4550: 东营市
4560: 烟台市
4580: 潍坊市
4610: 济宁市
4630: 泰安市
4650: 威海市
4770: 日照市
4730: 临沂市
4680: 德州市
4710: 聊城市
4660: 滨州市
4750: 菏泽市

4920: 开封市
4950: 平顶山市
4960: 安阳市
4970: 鹤壁市
4980: 新乡市
5010: 焦作市
5020: 濮阳市
5030: 许昌市
5040: 漯河市
5050: 三门峡市
5130: 南阳市
5060: 商丘市
5150: 信阳市
5080: 周口市
5110: 驻马店市
5017: 济源市

5220: 黄石市
5230: 十堰市
5250: 宜昌市
5280: 襄阳市
5310: 鄂州市
5320: 荆门市
5350: 孝感市
5370: 荆州市
5330: 黄冈市
5360: 咸宁市
5270: 随州市
5410: 恩施州
5371: 仙桃市
5375: 潜江市
5374: 天门市
5311: 神农架林区

