name: 1/2号线
len: 8
type: mtr

00010007: 昆明南火车站
00010008: 白龙潭
00010009: 宜和路
00010016: 市级行政中心
00010017: 大学城南
00010018: 大学城
00010019: 谊康南路
00010020: 联大街
00010021: 驼峰街
00010022: 春融街
00010023: 斗南
00010024: 南部汽车站
00010025: 新亚洲体育城
00010032: 星耀路
00010033: 珥季路
00010034: 晓东村
00010035: 昌宏西路
00010036: 巫家坝
00010037: 日新路
00010038: 福德
00010039: 昆明火车站
00010040: 环城南路
00010041: 塘子巷
00010048: 东风广场
00010049: 交三桥
00010050: 穿心鼓楼
00010051: 火车北站
00010052: 白云路
00010053: 金星
00010054: 北辰
00010055: 霖雨桥
00010056: 羊肠村
00010057: 司家营
00010064: 龙头街
00010065: 北部汽车站
