name: 6号线
len: 8
type: mtr

00060015: 西安南站
00060017: 西电科大南校区·未来之瞳
00060019: 西安国际医学中心
0006001B: 仁村
0006001D: 郭杜西
0006001F: 西部大道（西太路口）
00060021: 造字台
00060023: 丈八六路
00060025: 丈八四路
00060027: 丈八一路
00060029: 省体育馆
0006002B: 木塔寺
0006002D: 甘家寨
0006002F: 科技路
00060031: 西北工业大学
00060033: 大唐西市
00060035: 安定门
00060037: 桥梓口
00060039: 广济街
0006003B: 钟楼
0006003D: 大差市
0006003F: 长乐门
00060041: 交通大学·兴庆宫
00060043: 咸宁路
00060045: 公园南路
00060047: 万寿南路
00060049: 卫星测控中心
0006004B: 田家湾
0006004D: 穆将王
0006004F: 纺六路
00060051: 纺二路
00060053: 纺织城
