Filetype: AmiTool Amiibo Name DB
Version: 1
AmiiboCount: 932

Sandy: 0438000103000502
Isabelle - Winter: 0181010100b40502
Sonic: 3200000000300002
Ava: 029e0001013d0502
Blanca: 01b3000100b50502
Mac: 02f8000101380502
Lucha: 023c000100bd0502
Punchy: 0263000100750502
Violet: 03700001015d0502
Mii Brawler: 07c0000000210002
Wario - Baseball: 09c5020102830e02
Tom: 026c000100c30502
Zelda & Loftwing: 0101030004140902
Mint: 04e6000100820502
Caroline: 04e3000101650502
Mabel: 0188000101120502
Inkling - Yellow: 0800010004150402
Shiver: 0807000004330402
Frye: 0808000004340402
Big Man: 0809000004350402
Frett: 0a1d000103d40502
Kidd: 035d000100c90502
Qbby: 1f400000035e1002
Waluigi - Soccer: 09c6010102870e02
Purrl: 0264000101ac0502
Mitzi: 025e000101250502
Reneigh: 0a10000103c70502
Rasher: 047a000100600502
Chrissy: 04a10001016f0502
Metal Mario - Tennis: 09d0030102bb0e02
Harriet: 01910001004e0502
Daisy: 02f1000101450502
Bam: 02d7000101300502
Anabelle: 02030001019a0502
Labelle: 0189000100ab0502
Tatsuhisa “Luke” Kamijō: 3841000104251902
Smallfry: 08060100041c0402
Inkling: 0800010003820002
Rover: 018d0001010c0502
Wendell: 01a7000101140502
Renée: 04ba0001005d0502
Agnes: 0489000100ef0502
Resetti - Without Hat: 018e010101780502
Daisy Mae: 0a04000103b50502
Merry: 026d0001013f0502
Big Top: 03250001010a0502
Leif: 01b4000101130502
Rocco: 0390000101850502
Donkey Kong - Horse Racing: 09c7050102900e02
Gladys: 0437000101050502
Twiggy: 0230000101d20502
Camofrog: 033b000100fa0502
Lottie: 01c1000002440502
King K. Rool: 00c00000037b0002
Nail Saionji: 3845000104291902
Sephiroth: 3601000004210002
Deirdre: 02da000101330502
Flick: 0a03000103b40502
Lucina: 2102000000290002
Naomi: 02b80001019c0502
Raddle: 0347000103020502
Tortimer: 01b0000100520502
Digby: 018c000002430502
Puddles: 033e000101a20502
Octoling Boy: 08050200038f0402
Guardian: 0140000003550902
Squirtle: 1907000003840002
Peach - Power Up Band: 00020003039dff02
Jacob: 0238000102f80502
Boo: 0017000002680102
Pashmina: 035e0001018e0502
Paolo: 0328000102eb0502
June: 028a000102e90502
Super Mario Cereal: 3740000103741402
Link: 0100000000040002
Cloud: 3600000002590002
Rudy: 02710001019b0502
Flurry: 0384000100860502
Tammy: 028e0001019e0502
Teddy: 0214000100e40502
Frank: 04510001015e0502
Peach - Horse Racing: 09c2050102770e02
Stu: 024d000102f60502
Roscoe: 03a8000100910502
Ike: 2101000000180002
Luigi - Golf: 09c1040102710e02
Rodney: 0381000100d50502
Baby Mario - Soccer: 09cc010102a50e02
Daijobu: 3805000103981702
Bruce: 02d9000101c80502
Bree: 040f000101500502
Bangle: 04fd0001007b0502
Stitches: 0282000101810502
Aurora: 045f000101a80502
Iggly: 046a000101d00502
Vic: 0252000100fe0502
Palico: 35090100042b1802
Golden - Power Up Band: 000000030430ff02
Amelia: 044c0001008e0502
Miranda: 0313000101210502
Katrina: 01a5000101720502
Audie: 0a0c000103c30502
Diddy Kong - Horse Racing: 09c8050102950e02
Bill: 0307000100640502
Anchovy: 022f0001011e0502
Harvey: 0a05000103b80502
Link - Archer: 0100000003530902
Tommy - Uniform: 0186010100af0502
Octoling Girl: 08050100038e0402
8-Bit Link: 01000000034f0902
Maggie: 0482000102fd0502
Mega Man: 3480000003791502
Orville: 0a00000103ab0502
Chai: 032e0101031c0502
Dom: 0a0b000103c20502
Kapp'n: 01960000024e0502
Limberg: 040d000100780502
Weber: 0312000103090502
Bunnie: 04940001009a0502
Poochy: 00800102035d0302
Waluigi - Tennis: 09c6030102890e02
Pelly: 01a00001010f0502
Frobert: 033a000101cc0502
Birdo - Horse Racing: 09ce050102b30e02
Tasha: 04ea000103180502
Robin: 022e000101d30502
Alfonso: 02c3000100dc0502
Peck: 023e000100d10502
Baby Luigi - Baseball: 09cd020102ab0e02
Rosalina: 0004000002620102
Cyrus: 018b000002460502
Frita: 04d0000101960502
Sprinkle: 046d000100f30502
Bella: 040e000100880502
Drago: 02cb000101360502
Grams: 0199000101160502
Corrin: 21050000025a0002
OHare: 04a3000101c90502
Dark Pit: 0741000000200002
Rosalina & Luma: 0004010000130002
Redd: 01a80001004f0502
Mabel: 0188000002410502
Hamphrey: 0385000101060502
Pave: 01ab0001017c0502
Wario - Soccer: 09c5010102820e02
Alli: 02c4000100670502
Yoshi - Golf: 09c4040102800e02
Bones: 02ee000101990502
E.M.M.I.: 05c4000004131302
Link - Rider: 0100000003540902
Gaston: 04980001014a0502
Quillson: 03180001006c0502
Pink Gold Peach - Soccer: 09d1010102be0e02
Wii Fit Trainer: 0700000000070002
Wario: 00070000001a0002
Chibi Robo: 22c00000003a0202
Diddy Kong: 00090000000d0002
Razewing Ratha: 35050000040c0f02
Zipper: 01ac0001017f0502
Pierce: 044d000101930502
Ikari: 3801000103941702
Toon Link - The Wind Waker: 0100010003500902
Hero: 3640000003a20002
Kapp'n: 0196000100480502
Luigi - Power Up Band: 00010003039cff02
Inkling Girl: 08000100003e0402
Lobo: 050c000101c10502
Zelda: 0101000003560902
Rathian and Cheval: 3502010002e40f02
Waluigi - Horse Racing: 09c60501028b0e02
Quinn: 0a18000103cf0502
Digby: 018c0001004c0502
Young Link: 01000000037c0002
Huck: 0343000102ef0502
Avery: 0450000100cf0502
Carrie: 03d3000102f30502
Kiki: 0261000100650502
Isabelle - Summer Outfit: 01810000024b0502
Rooney: 03da000101510502
Nate: 02190001007e0502
Metal Mario - Soccer: 09d0010102b90e02
Pippy: 049a0001014e0502
Yoshi: 0003000000020002
Birdo - Tennis: 09ce030102b10e02
Mythra: 22420000041f0002
Rocket: 03720001010b0502
Peaches: 03ac000101880502
Ken: 02a6000101240502
Inkling Boy: 08000200003f0402
Luigi: 0001000000350102
Chip: 019a000100b70502
Claudia: 04ff000101620502
Greta: 041c000101410502
Celica: 2107000003611202
Deena: 030b000100790502
Ivysaur: 1902000003830002
Filbert: 04df000100e80502
Velma: 035c000101290502
Beardo: 02210001013c0502
Azalea: 0a1e000103d50502
Samus: 05c0000000060002
Samus: 05c00000043b1302
Samus & Vi-O-La: 05c00000043a1302
Sylux: 05c50000043c1302
Simon: 37c00000038b0002
Magnamalo: 35080000040f1802
Rosalina - Tennis: 09cf030102b60e02
Boo - Golf: 09cb040102a30e02
Flip: 03ff000100f40502
Hazel: 04ef0001013b0502
Bubbles: 0392000101270502
Elmer: 03a7000101a10502
Boots: 02c5000103080502
Hammer Slam Bowser: 0005ff00023a0702
Bea: 02f4000103050502
Boone: 036b0001018b0502
Wardell: 0a08000103bd0502
Petri: 0a16000103cd0502
Ace: 0a1b000103d20502
Mii Swordfighter: 07c0010000220002
Gakuto Sōgetsu: 3842000104261902
Terry: 3c80000003a40002
Daisy - Horse Racing: 09c30501027c0e02
Snake: 37800000038a0002
Franklin: 01ae0001011b0502
Detective Pikachu: 1d01000003750d02
Hopper: 0462000100f60502
Palamute: 350a0100042c1802
Colton: 03af0001012c0502
Phoebe: 0440000100ca0502
Ursala: 021c000102f70502
Gayle: 02ca000101ca0502
Daisy: 00130000037a0002
Lucy: 047c000101a00502
Sylvana: 04eb000102f00502
Billy: 0358000102fa0502
Tutu: 021b000100800502
Niko: 0a07000103bc0502
Grizzly: 021d000101cd0502
Isabelle: 0181000100440502
Hopkins: 04a2000102e80502
Scoot: 0311000100d60502
Sydney: 03bf000101bc0502
Candi: 04140001030a0502
Étoile: 04d30101031b0502
Axel: 03290001009d0502
Rowan: 04fb000101c60502
Rosie - Amiibo Festival: 025f000101d70502
Kicks: 01940000024a0502
One-Eyed Rathalos and Rider - Female: 3500020002e20f02
Copper: 019d000100ac0502
Admiral: 0233000103060502
Cranston: 043c000101cb0502
Wolf: 05840000037e0002
Apple: 037f000101aa0502
Resetti: 018e000002490502
Daisy - Soccer: 09c3010102780e02
Pikachu: 1919000000090002
Monty: 03fd000101580502
Snooty: 0206000103120502
Mega Yarn Yoshi: 00030102023e0302
Plucky: 02a3000102ff0502
Genji: 049c000101400502
Timmy: 01850001004b0502
Ketchup: 0314000102f40502
Midna & Wolf Link: 01030000024f0902
Luigi: 00010000000c0002
Luigi - My Mario Wooden Blocks: 0001000404401c02
Label: 0189010103b10502
Steve: 3dc0000004220002
Timmy & Tommy: 01840000024d0502
Marth: 21000000000b0002
Porter: 0195000100b00502
Yoshi: 0003000000370102
Yoshi - My Mario Wooden Blocks: 0003000404421c02
Derwin: 030f0001016d0502
R.O.B. - Famicom: 07810000002e0002
Cloud - Player 2: 3600010003620002
Olaf: 02090001019f0502
Rhonda: 04b3000100dd0502
Waluigi - Golf: 09c60401028a0e02
Chrom: 21080000036f1202
Birdo - Golf: 09ce040102b20e02
Wario - Golf: 09c5040102850e02
Cesar: 0369000100d30502
Solaire of Astora: 3380000003781402
Roa Kirishima: 3844000104281902
Pinky: 0215000101820502
Olive: 0286000103130502
Ice Climbers: 078f000003810002
Asana Mutsuba: 38460001042a1902
Tom Nook - Jacket: 01830101010e0502
Anicotti: 0416000100fb0502
Mario - Soccer: 09c0010102690e02
Croque: 03490001018d0502
Daruk: 0105000003580902
Tulin: 010b000004a50902
Yunobo: 010c000004a60902
Sidon: 010a000004a40902
Riju: 0109000004a30902
Chops: 0486000100fc0502
Shovel Knight - Gold Edition: 35c0000003920a02
Bowser - Wedding: 0005000003730102
DJ KK: 0182010100460502
Saharah: 01a6000103b70502
Jitters: 02310001006a0502
Mipha: 01070000035a0902
Tsukino: 35070000040e0f02
Coach: 0251000100c10502
Erik: 02df000101910502
Tammi: 03fc000101470502
Gigi: 03480001006b0502
Biskit: 02ed0001015a0502
Ken: 34c1000003890002
Sable: 0187000100470502
Brewster: 0190000101710502
Lyman: 03c50001015c0502
Cyrano: 0200000100a10502
Broccolo: 0418000100d80502
Winnie: 03a9000100710502
Midge: 0235000100840502
Cally: 04e8000101ce0502
Qurupeco and Dan: 3504010002e60f02
Vladimir: 0283000100c70502
Leopold: 03ea0001030b0502
Maelle: 030a000101c70502
Callie: 08010000025d0402
Callie - Alterna: 0801000004360402
Toby: 04a80101031e0502
Coco: 0496000100d90502
Sprocket: 0439000103110502
Jack: 01ad000100b80502
Pawapuro: 3800000103931702
Banjo & Kazooie: 3b40000003a30002
Sylvia: 03d7000101b40502
Whitney: 050e000100d70502
Redd - Shirt: 01a80101017e0502
Min Min: 0a400000041d0002
Peach - Soccer: 09c2010102730e02
Sherb: 0a09000103c00502
Stinky: 026a000101460502
Francine: 04a00001016e0502
Roald: 0460000100a50502
Boo - Horse Racing: 09cb050102a40e02
Monique: 02680001007d0502
Tybalt: 04fc000102ee0502
Melba: 03be000101980502
Luigi - Soccer: 09c10101026e0e02
Chrom: 2108000003880002
Meta Knight: 1f01000000270002
Nibbles: 04e1000101be0502
Marie: 08020000025e0402
Marie - Alterna: 0802000004370402
Marty: 028f0101031a0502
Spork/Crackle: 047d0001012e0502
Boo - Soccer: 09cb010102a00e02
King Knight: 35c30000036e0a02
Inkling Squid: 0800030000400402
Henry: 034b0001009f0502
Blathers: 0192000002470502
Revali: 01080000035b0902
