name: 6号线
len: 8
type: mtr

00060001: 南孙庄
00060002: 南何庄
00060003: 大毕庄
00060004: 金钟街
00060005: 徐庄子
00060006: 金钟河大街
00060007: 民权门
00060008: 北宁公园
00060009: 北站
00060010: 新开河
00060011: 外院附中
00060012: 天泰路
00060013: 北运河
00060014: 北竹林
00060015: 西站
00060016: 复兴路
00060017: 人民医院
00060018: 长虹公园
00060019: 宜宾道
00060020: 鞍山西道
00060021: 天拖
00060022: 一中心医院
00060023: 红旗南路
00060024: 迎风道
00060025: 南翠屏
00060026: 水上公园东路
00060027: 肿瘤医院
00060028: 天津宾馆
00060029: 文化中心
00060030: 乐园道
00060031: 尖山路
00060032: 黑牛城道
00060033: 梅江道
00060034: 左江道
00060035: 梅江公园
00060036: 梅江会展中心
00060037: 解放南路
00060038: 洞庭路
00060039: 梅林路
