# 沈阳市-2210
name: 2号线
len: 8
type: mtr

0002011B: 蒲田路
00020119: 蒲河路
00020117: 人杰湖公园
00020115: 辽宁大学
00020113: 航空航天大学
00020111: 师范大学
0002010F: 医学院
000200CB: 三台子
000200CD: 陵西
000200CF: 新乐遗址
000200D1: 北陵公园
000200D3: 中医药大学
000200D5: 岐山路
000200D7: 沈阳北站
000200D9: 金融中心
000200DB: 人民广场
000200DD: 青年大街
000200DF: 青年公园
000200E1: 工业展览馆
000200E3: 市图书馆
000200E5: 五里河
000200E7: 奥体中心
000200E9: 营盘街
000200EB: 世纪大厦
000200ED: 白塔河路
000200EF: 全运路
000200F1: 沈本大街
000200F3: 沈中大街
000200F5: 省博物馆
000200F7: 中央公园
000200F9: 创新一路
000200FB: 综合保税区
000200FD: 桃仙机场
