# 上海市-2900
name: 10号线
len: 8
type: mtr

00100018: 航中路
00100019: 紫藤路
00100020: 龙柏新村
00100041: 虹桥火车站
00100042: 虹桥2号航站楼
00100043: 虹桥1号航站楼
00100044: 上海动物园
00100045: 龙溪路
00100046: 水城路
00100047: 伊犁路
00100048: 宋园路
00100049: 虹桥路
00100050: 交通大学
00100051: 上海图书馆
00100052: 陕西南路
00100053: 新天地
00100054: 老西门
00100055: 豫园
00100056: 南京东路
00100057: 天潼路
00100058: 四川北路
00100059: 海伦路
00100060: 邮电新村
00100061: 四平路
00100062: 同济大学
00100063: 国权路
00100064: 五角场
00100065: 江湾体育场
00100066: 三门路
00100067: 殷高东路
00100068: 新江湾城
00100069: 国帆路
00100070: 双江路
00100071: 高桥西
00100072: 高桥
00100073: 港城路
00100074: 基隆路
