# 长沙市-5510
name: 1号线
len: 6 8
type: mtr

010001: 尚双塘
010002: 中信广场
010003: 大托
010004: 桂花坪
010005: 省政府
010006: 友谊路
010007: 铁道学院
010008: 涂家冲
010009: 黄土岭
010010: 南湖路
010011: 侯家塘
010012: 南门口
010013: 黄兴广场
010014: 五一广场
010015: 培元桥
010016: 文昌阁
010017: 开福寺
010018: 北辰三角洲
010019: 马厂
010020: 开福区政府
010021: 宿龙桥
010022: 秀峰山
010023: 鹅羊山
010024: 金霞
010025: 金盆丘
01000101: 尚双塘
01000102: 中信广场
01000103: 大托
01000104: 桂花坪
01000105: 省政府
01000106: 友谊路
01000107: 铁道学院
01000108: 涂家冲
01000109: 黄土岭
0100010A: 南湖路
0100010B: 侯家塘
0100010C: 南门口
0100010D: 黄兴广场
0100010E: 五一广场
0100010F: 培元桥
01000110: 文昌阁
01000111: 开福寺
01000112: 北辰三角洲
01000113: 马厂
01000114: 开福区政府
