# 西安市-7910
name: 8号线
len: 8
type: mtr

00080015: 山门口
00080017: 安化门
00080019: 东仪路
0008001B: 电视塔
0008001D: 大唐不夜城
0008001F: 曲江池西
00080021: 寒窑
00080023: 新开门
00080025: 缪家寨
00080027: 植物园
00080029: 马腾空
0008002B: 东等驾坡
0008002D: 西等驾坡
0008002F: 万寿南路
00080031: 韩森寨
00080033: 万寿路
00080035: 幸福林带北
00080037: 米家崖
00080039: 广泰门
0008003B: 北辰东路
0008003D: 井上村
0008003F: 余家寨
00080041: 市第三医院
00080043: 市图书馆
00080045: 霸城门
00080047: 大风阁
00080049: 红庙坡
0008004B: 景曜门
0008004D: 光化门
0008004F: 白家口
00080051: 开远门
00080053: 土门
00080055: 金光门
00080057: 延平门
00080059: 科技二路
0008005B: 木塔寺西
0008005D: 省体育馆
